iter	Passed	Remaining
0	1	162
1	2	140
2	4	135
3	5	123
4	6	121
5	7	119
6	8	117
7	10	115
8	11	113
9	13	118
10	14	116
11	15	115
12	16	112
13	18	110
14	19	109
15	20	107
16	21	105
17	22	104
18	24	102
19	25	102
20	26	101
21	28	100
22	29	98
23	30	97
24	31	95
25	33	93
26	34	92
27	35	91
28	36	89
29	37	88
30	38	86
31	40	85
32	41	85
33	43	84
34	44	83
35	46	82
36	47	81
37	49	80
38	50	79
39	52	78
40	53	77
41	54	75
42	56	74
43	58	73
44	59	72
45	61	71
46	62	70
47	64	69
48	65	68
49	67	67
50	68	66
51	70	64
52	71	63
53	72	61
54	73	60
55	74	58
56	76	57
57	77	55
58	78	54
59	79	53
60	81	52
61	82	50
62	83	49
63	85	47
64	86	46
65	87	45
66	88	43
67	90	42
68	91	41
69	92	39
70	93	38
71	95	37
72	97	35
73	98	34
74	99	33
75	101	32
76	102	30
77	103	29
78	105	27
79	106	26
80	108	25
81	109	24
82	110	22
83	112	21
84	113	19
85	114	18
86	115	17
87	116	15
88	117	14
89	119	13
90	120	11
91	122	10
92	124	9
93	125	7
94	126	6
95	127	5
96	129	3
97	130	2
98	131	1
99	132	0
