iter	Passed	Remaining
0	1	1710
1	3	1582
2	4	1483
3	5	1428
4	12	2455
5	13	2311
6	15	2193
7	16	2082
8	18	2006
9	21	2088
10	26	2368
11	28	2375
12	30	2314
13	31	2224
14	32	2162
15	34	2100
16	41	2394
17	42	2335
18	44	2288
19	45	2238
20	46	2186
21	48	2140
22	55	2346
23	56	2306
24	58	2298
25	60	2275
26	62	2240
27	63	2213
28	70	2349
29	72	2339
30	74	2313
31	75	2298
32	78	2290
33	79	2264
34	83	2315
35	86	2324
36	89	2318
37	90	2289
38	91	2265
39	99	2382
40	100	2356
41	102	2330
42	104	2316
43	105	2290
44	106	2268
45	108	2241
46	112	2277
47	113	2258
48	115	2239
49	117	2225
50	118	2202
51	119	2179
52	120	2160
53	122	2138
54	127	2198
55	129	2180
56	131	2167
57	132	2156
58	134	2139
59	135	2120
60	136	2102
61	142	2160
62	144	2151
63	146	2138
64	148	2137
65	150	2130
66	152	2124
67	157	2161
68	159	2148
69	162	2152
70	164	2151
71	166	2145
72	170	2168
73	176	2205
74	178	2198
75	179	2186
76	188	2253
77	189	2244
78	191	2230
79	192	2214
80	194	2202
81	195	2189
82	196	2168
83	202	2209
84	204	2200
85	206	2197
86	208	2183
87	209	2167
88	211	2160
89	216	2187
90	218	2179
91	220	2175
92	222	2168
93	223	2154
94	224	2143
95	226	2132
96	231	2150
97	232	2139
98	234	2129
99	235	2118
100	236	2106
101	237	2094
102	239	2085
103	245	2110
104	247	2110
105	249	2103
106	250	2093
107	252	2083
108	253	2072
109	255	2063
110	257	2058
111	258	2051
112	261	2049
113	262	2040
114	263	2030
115	265	2020
116	269	2037
117	271	2028
118	272	2020
119	274	2013
120	276	2008
121	277	1998
122	279	1989
123	280	1981
124	285	2000
125	287	1995
126	288	1985
127	290	1976
128	291	1967
129	292	1958
130	298	1976
131	299	1971
132	301	1966
133	303	1960
134	304	1953
135	306	1944
136	307	1935
137	313	1960
138	315	1955
139	317	1949
140	318	1942
141	319	1932
142	321	1926
143	325	1935
144	329	1940
145	330	1935
146	332	1929
147	333	1921
148	335	1916
149	343	1947
150	345	1941
151	346	1933
152	348	1927
153	349	1919
154	350	1913
155	353	1910
156	357	1921
157	359	1914
158	361	1911
159	362	1905
160	363	1895
161	369	1911
162	371	1905
163	372	1899
164	373	1892
165	375	1884
166	376	1876
167	377	1868
168	380	1868
169	381	1863
170	383	1858
171	385	1855
172	386	1848
173	387	1841
174	389	1838
175	394	1844
176	395	1837
177	396	1833
178	398	1826
179	399	1820
180	400	1814
181	402	1807
182	404	1804
183	405	1798
184	407	1794
185	410	1796
186	412	1792
187	413	1785
188	414	1780
189	421	1794
190	422	1790
191	425	1789
192	426	1784
193	428	1778
194	431	1782
195	434	1782
196	437	1783
197	439	1778
198	440	1771
199	441	1766
200	442	1760
201	446	1765
202	450	1767
203	452	1766
204	454	1761
205	455	1756
206	456	1749
207	457	1743
208	460	1744
209	463	1744
210	466	1744
211	467	1738
212	469	1733
213	470	1727
214	471	1722
215	474	1722
216	476	1720
217	478	1715
218	479	1711
219	481	1705
220	483	1702
221	484	1698
222	487	1698
223	489	1696
224	491	1692
225	494	1692
226	495	1687
227	497	1683
228	502	1690
229	504	1687
230	507	1690
231	509	1686
232	511	1684
233	514	1683
234	517	1683
235	518	1679
236	520	1674
237	521	1670
238	523	1668
239	526	1666
240	528	1664
241	530	1661
242	532	1659
243	534	1657
244	536	1652
245	541	1660
246	543	1656
247	545	1655
248	547	1651
249	549	1647
250	550	1643
251	554	1644
252	556	1644
253	559	1642
254	561	1639
255	566	1646
256	568	1644
257	572	1645
258	574	1644
259	576	1640
260	580	1644
261	582	1641
262	584	1637
263	586	1634
264	588	1632
265	590	1628
266	591	1624
267	595	1626
268	598	1625
269	599	1621
270	601	1618
271	604	1616
272	605	1613
273	608	1612
274	610	1610
275	612	1606
276	614	1602
277	616	1601
278	618	1597
279	619	1593
280	624	1597
281	625	1593
282	627	1589
283	629	1586
284	630	1583
285	633	1580
286	635	1577
287	638	1578
288	640	1575
289	642	1573
290	644	1569
291	647	1568
292	649	1567
293	653	1568
294	654	1565
295	657	1562
296	659	1562
297	661	1558
298	665	1559
299	666	1556
300	669	1555
301	671	1552
302	673	1550
303	675	1547
304	677	1543
305	680	1543
306	684	1544
307	686	1542
308	688	1540
309	690	1537
310	692	1535
311	696	1534
312	697	1531
313	699	1528
314	701	1525
315	703	1522
316	704	1518
317	708	1520
318	710	1517
319	714	1517
320	715	1513
321	717	1510
322	719	1507
323	722	1507
324	724	1504
325	726	1501
326	728	1498
327	729	1495
328	732	1493
329	734	1491
330	739	1494
331	742	1493
332	744	1491
333	746	1487
334	748	1485
335	753	1489
336	755	1486
337	757	1483
338	758	1479
339	760	1476
340	762	1473
341	764	1470
342	766	1467
343	768	1465
344	770	1462
345	772	1459
346	773	1456
347	775	1453
348	777	1449
349	780	1450
350	782	1446
351	784	1443
352	786	1441
353	787	1437
354	789	1434
355	790	1430
356	793	1429
357	795	1426
358	798	1425
359	800	1422
360	802	1420
361	805	1420
362	808	1419
363	812	1420
364	814	1417
365	816	1413
366	818	1411
367	820	1408
368	823	1407
369	825	1405
370	827	1402
371	831	1403
372	833	1400
373	835	1398
374	839	1399
375	841	1396
376	844	1395
377	846	1392
378	847	1388
379	848	1385
380	850	1381
381	852	1379
382	853	1375
383	855	1372
384	857	1369
385	859	1367
386	861	1364
387	862	1360
388	865	1360
389	867	1357
390	918	1431
391	923	1432
392	926	1431
393	928	1427
394	932	1427
395	934	1425
396	936	1422
397	938	1419
398	940	1416
399	941	1412
400	943	1409
401	944	1405
402	947	1404
403	949	1400
404	951	1397
405	963	1409
406	967	1409
407	968	1405
408	969	1401
409	971	1397
410	973	1395
411	975	1392
412	977	1388
413	978	1385
414	980	1381
415	981	1377
416	982	1374
417	984	1370
418	986	1367
419	989	1365
420	991	1363
421	993	1361
422	995	1357
423	996	1353
424	998	1351
425	1000	1348
426	1005	1348
427	1007	1346
428	1010	1345
429	1012	1342
430	1014	1339
431	1016	1336
432	1018	1333
433	1020	1331
434	1022	1327
435	1024	1324
436	1027	1324
437	1029	1320
438	1032	1319
439	1033	1315
440	1034	1311
441	1036	1308
442	1037	1304
443	1039	1301
444	1041	1298
445	1047	1300
446	1048	1297
447	1052	1296
448	1053	1293
449	1055	1289
450	1058	1289
451	1060	1285
452	1061	1282
453	1063	1279
454	1065	1276
455	1069	1275
456	1071	1273
457	1073	1270
458	1075	1267
459	1077	1265
460	1079	1262
461	1081	1259
462	1083	1256
463	1086	1255
464	1087	1251
465	1089	1248
466	1092	1247
467	1094	1243
468	1095	1240
469	1096	1237
470	1100	1236
471	1102	1233
472	1105	1231
473	1106	1228
474	1107	1224
475	1109	1221
476	1110	1217
477	1112	1215
478	1115	1212
479	1116	1209
480	1117	1206
481	1119	1202
482	1120	1199
483	1122	1196
484	1123	1192
485	1124	1189
486	1129	1190
487	1131	1186
488	1133	1184
489	1135	1181
490	1136	1177
491	1137	1174
492	1139	1171
493	1142	1170
494	1144	1167
495	1145	1164
496	1147	1161
497	1148	1157
498	1150	1154
499	1151	1151
500	1155	1151
501	1157	1147
502	1158	1144
503	1159	1141
504	1161	1138
505	1162	1135
506	1163	1131
507	1165	1128
508	1168	1127
509	1170	1124
510	1171	1120
511	1172	1117
512	1174	1114
513	1175	1111
514	1176	1108
515	1178	1105
516	1179	1102
517	1181	1099
518	1182	1096
519	1185	1094
520	1186	1090
521	1188	1087
522	1189	1085
523	1190	1081
524	1193	1079
525	1194	1076
526	1196	1073
527	1197	1070
528	1199	1067
529	1200	1064
530	1201	1061
531	1203	1058
532	1207	1058
533	1209	1055
534	1210	1052
535	1212	1049
536	1213	1046
537	1215	1043
538	1216	1040
539	1218	1037
540	1219	1034
541	1223	1033
542	1224	1030
543	1226	1028
544	1227	1025
545	1229	1022
546	1231	1019
547	1232	1016
548	1233	1013
549	1236	1011
550	1238	1009
551	1240	1006
552	1241	1003
553	1243	1000
554	1245	998
555	1247	996
556	1251	995
557	1252	992
558	1253	989
559	1255	986
560	1256	983
561	1258	980
562	1259	977
563	1260	974
564	1262	971
565	1266	971
566	1268	968
567	1270	966
568	1272	963
569	1273	961
570	1275	958
571	1276	955
572	1281	954
573	1283	952
574	1285	950
575	1287	947
576	1288	944
577	1290	941
578	1291	939
579	1294	937
580	1295	934
581	1297	931
582	1299	929
583	1301	927
584	1303	924
585	1304	921
586	1305	918
587	1307	915
588	1309	913
589	1310	910
590	1312	907
591	1313	905
592	1314	902
593	1315	899
594	1317	896
595	1318	893
596	1319	891
597	1322	889
598	1324	886
599	1325	883
600	1326	880
601	1328	878
602	1329	875
603	1332	873
604	1333	870
605	1334	867
606	1337	865
607	1338	863
608	1340	860
609	1341	857
610	1343	855
611	1344	852
612	1346	849
613	1347	847
614	1349	844
615	1351	842
616	1353	839
617	1354	837
618	1355	834
619	1356	831
620	1358	829
621	1359	826
622	1361	823
623	1363	821
624	1365	819
625	1367	816
626	1368	814
627	1370	811
628	1371	808
629	1372	806
630	1374	803
631	1375	800
632	1377	798
633	1385	799
634	1387	797
635	1388	794
636	1389	791
637	1390	789
638	1394	787
639	1395	784
640	1396	782
641	1398	779
642	1399	777
643	1401	774
644	1402	771
645	1403	769
646	1404	766
647	1406	764
648	1409	762
649	1410	759
650	1412	757
651	1413	754
652	1415	752
653	1416	749
654	1418	747
655	1422	745
656	1423	743
657	1425	740
658	1427	738
659	1428	735
660	1429	733
661	1430	730
662	1433	728
663	1435	726
664	1439	725
665	1440	722
666	1442	720
667	1445	718
668	1449	717
669	1451	715
670	1453	712
671	1454	710
672	1456	707
673	1457	705
674	1460	703
675	1464	701
676	1466	699
677	1467	697
678	1470	695
679	1472	692
680	1473	690
681	1474	687
682	1477	685
683	1479	683
684	1481	681
685	1482	678
686	1484	676
687	1485	673
688	1486	671
689	1488	668
690	1489	665
691	1491	663
692	1493	661
693	1494	659
694	1496	656
695	1497	654
696	1498	651
697	1499	648
698	1501	646
699	1504	644
700	1505	642
701	1507	639
702	1508	637
703	1510	635
704	1511	632
705	1512	630
706	1515	628
707	1518	626
708	1519	623
709	1520	621
710	1521	618
711	1523	616
712	1525	613
713	1527	611
714	1528	609
715	1531	607
716	1533	605
717	1535	603
718	1537	600
719	1538	598
720	1540	595
721	1541	593
722	1547	592
723	1549	590
724	1551	588
